,Area Name:,Latitude,Longitude
516,Carreg Gwalch,3.079,-4.030
517,The reddleman boulders,3.128,-4.025
518,Gwynant Roadbloc,3.046,-4.020
519,Creigiau Cwympo,3.118,-4.032
520,Pass Oddities No.2 (NWB),3.084,-4.037
521,Elephantitus Cave,3.049,-4.027
522,Esgair Maen Gwyn (Scimitar Ridge),3.087,-4.038
523,The Sheep Pen,3.140,-4.027
524,Blaen y nant boulder,3.128,-4.033
525,The Cuboid,3.138,-4.030
526,The Burley Boulder,3.141,-4.029
527,Tanygrisiau Boulders,2.988,-3.971
528,Layby boulders,3.087,-4.045
529,Afon Tafolog Boulders,3.223,-3.913
530,Craig Y Llwyfan,3.085,-4.046
531,Pont y Gromlech Slabs,3.088,-4.049
532,Cromlech boulders,3.090,-4.050
533,Dinas Mot,3.086,-4.050
534,Wavelength Boulders,3.090,-4.051
535,Cwm y Foel,3.005,-4.004
536,Ettws Isaf,3.087,-4.055
537,Carreg Wastad,3.093,-4.056
538,Croeso Boulder,3.091,-4.056
539,The Drought Boulder,3.092,-4.059
540,Caseg Boulder,3.178,-4.017
541,The Easter egg,3.092,-4.060
542,Pritch's traverse  boulder,3.093,-4.060
543,The 70's Cops Boulder,3.091,-4.061
544,Tal y Fan,3.236,-3.905
545,BWTRES BACH,3.095,-4.062
546,Cwm Glas Bach Boulders,3.093,-4.064
547,Euston Wall,3.100,-4.064
548,The punctuation boulders,3.093,-4.065
549,Gravestones/ Hidden Wall/ Yr Ochr Wen/ Twll Tin,3.091,-4.065
550,The entertainment boulder,3.099,-4.065
551,The oyster,3.095,-4.065
552,The Nose,3.095,-4.065
553,The asteroid,3.095,-4.066
554,Evening Wall,3.099,-4.066
555,Help,3.095,-4.066
556,The white album,3.095,-4.067
557,The bethesda splitter boulder,3.161,-4.041
558,Revolver,3.095,-4.067
559,With the beatles,3.095,-4.067
560,A hard days night,3.095,-4.067
561,Magical mystery tour,3.095,-4.067
562,Vertebra Wall,3.095,-4.067
563,The Bottle Yard Boulders,3.097,-4.067
564,Rubber Soul,3.095,-4.067
565,The sheepdog boulder,3.102,-4.068
566,Crystal Tips Wall,3.102,-4.068
567,The bunion,3.101,-4.069
568,Magic Numbers Wall,3.096,-4.071
569,Craig Cwm Glas Bach,3.090,-4.071
570,Upper Satelites,3.090,-4.073
571,Moss Side Boulder,3.095,-4.073
572,The reed boulders,3.097,-4.074
573,Cwm yr afon goch,3.209,-3.994
574,The lookout boulder,3.095,-4.075
575,Bookend boulder,3.096,-4.075
576,The pox boulder,3.092,-4.075
577,The dishwasher boulder,3.093,-4.076
578,Chance Encounter Boulder,3.097,-4.077
579,Flatty boy boulder,3.097,-4.077
580,Caseg bach boulder,3.175,-4.041
581,The Picasso Boulder,3.179,-4.037
582,The Snappy Roof Boulder,3.095,-4.077
583,Pac man boulders,3.099,-4.077
584,The friday night boulder,3.097,-4.078
585,The Peris Boulder,3.107,-4.077
586,Power pellets boulder,3.098,-4.079
587,The tiny moon boulder,3.097,-4.079
588,Craig y Llyn,3.031,-4.060
589,Vagabond Boulder,3.111,-4.078
590,The Pillar of Elidir,3.134,-4.072
591,Nant Peris Circuit Boulders,3.102,-4.080
592,Ogwen bank quarry,3.167,-4.052
593,The Ogwen bank boulder,3.167,-4.053
594,Braichmelyn Bach Boulder,3.174,-4.047
595,Llechog,3.090,-4.083
596,The wave,3.169,-4.053
597,Braichmelyn Block,3.173,-4.050
598,Elidir Fawr,3.131,-4.076
599,Braichmelyn Boulder,3.174,-4.049
600,Y Fronllwyd,3.147,-4.071
601,Bryn y Dyfrgi,2.925,-3.726
602,The Lowball Boulder,3.182,-4.051
603,Craig Marchlyn Bach,3.138,-4.083
604,Lliwedd Bychan,2.993,-4.044
605,Marchlyn boulders,3.143,-4.083
606,Spider Buttress,2.993,-4.047
607,Clogwyn Du'r Arddu Boulders,3.086,-4.097
608,Parc Meurig,3.178,-4.062
609,Twll Mawr,3.120,-4.095
610,Caeddafydd,3.000,-4.058
611,Sleepy Hollow Boulder,3.227,-4.002
612,Serengeti,3.121,-4.098
613,Australia,3.126,-4.097
614,Nant Peris Pinnacle,3.108,-4.101
